combo,million_strict,high_strict,million_relaxed,high_relaxed,million_items_strict,million_items_relaxed_only,high_value_extra_strict
医疗+珠宝+数码+书籍,2,10,7,22,《富春山居图》(1236666);复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);敦煌绢画(255840);古医书《伤寒论》(158940);黄金权杖(141300);单人郊游快艇(106500)
家居+武器+数码+交通,2,10,7,22,超级跑车钥匙(1495000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);相控阵雷达(1003000),AI服务器(470400);重型巡航摩托车(357040);金缕玉衣(281600);小米云端100寸液晶电视(255115);小米全智能扫地机器人(170362);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
医疗+时尚+数码+交通,2,9,8,24,超级跑车钥匙(1495000);复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);斯卡奥小金人(168000);单人郊游快艇(106500)
医疗+数码+饮食+书籍,2,9,6,23,《富春山居图》(1236666);复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);敦煌绢画(255840);古医书《伤寒论》(158940);单人郊游快艇(106500)
家居+医疗+数码+交通,2,8,9,22,超级跑车钥匙(1495000);复苏呼吸机(1089660),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);重型巡航摩托车(357040);小米云端100寸液晶电视(255115);小米全智能扫地机器人(170362);单人郊游快艇(106500)
家居+文玩+数码+交通,2,8,9,19,豪宅管理用黑盒(7402320);超级跑车钥匙(1495000),羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),AI服务器(470400);重型巡航摩托车(357040);小米云端100寸液晶电视(255115);金丝楠木椅(187812);小米全智能扫地机器人(170362);单人郊游快艇(106500)
家居+时尚+武器+文玩,1,15,9,24,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);名刀：菊一文字(422002);重型巡航摩托车(357040);时尚轿跑(293400);《般若神掌》(284519);金缕玉衣(281600);小米云端100寸液晶电视(255115);007同款防弹西装(199080);环球小姐冠军皇冠(195154);金丝楠木椅(187812);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+时尚+武器+书籍,1,15,7,27,《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);相控阵雷达(1003000),翡翠屏风(844000);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);007同款防弹西装(199080);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+时尚+珠宝+文玩,1,14,9,22,羊脂白玉籽和田玉(2516000),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);小米云端100寸液晶电视(255115);007同款防弹西装(199080);环球小姐冠军皇冠(195154);金丝楠木椅(187812);斯卡奥小金人(168000);黄金权杖(141300);亚历山大变石(128000);单人郊游快艇(106500)
医疗+时尚+武器+文玩,1,14,7,27,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);名刀：菊一文字(422002);重型巡航摩托车(357040);时尚轿跑(293400);《般若神掌》(284519);007同款防弹西装(199080);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古医书《伤寒论》(158940);古剑(143100);黄金权杖(141300);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
家居+时尚+数码+书籍,1,14,7,26,《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);相控阵雷达(1003000),翡翠屏风(844000);AI服务器(470400);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);小米云端100寸液晶电视(255115);环球小姐冠军皇冠(195154);小米全智能扫地机器人(170362);斯卡奥小金人(168000);古剑(143100);单人郊游快艇(106500)
家居+时尚+武器+数码,1,14,6,26,《富春山居图》(1236666),豪宅管理用黑盒(7402320);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);相控阵雷达(1003000),AI服务器(470400);民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);金缕玉衣(281600);小米云端100寸液晶电视(255115);007同款防弹西装(199080);环球小姐冠军皇冠(195154);小米全智能扫地机器人(170362);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+时尚+饮食+书籍,1,13,9,25,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古剑(143100);野生大黄鱼(127260);曜变天目盏(112500);单人郊游快艇(106500)
家居+时尚+武器+饮食,1,13,8,23,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);金缕玉衣(281600);007同款防弹西装(199080);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);野生大黄鱼(127260);曜变天目盏(112500);单人郊游快艇(106500)
家居+武器+文玩+饮食,1,13,8,24,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),双羊尊(567900);名刀：菊一文字(422002);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);小米云端100寸液晶电视(255115);金丝楠木椅(187812);古剑(143100);黄金权杖(141300);野生大黄鱼(127260);曜变天目盏(112500);单人郊游快艇(106500)
医疗+时尚+武器+书籍,1,13,7,27,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);007同款防弹西装(199080);斯卡奥小金人(168000);古医书《伤寒论》(158940);古剑(143100);单人郊游快艇(106500)
医疗+时尚+珠宝+文玩,1,13,7,25,羊脂白玉籽和田玉(2516000),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古医书《伤寒论》(158940);黄金权杖(141300);亚历山大变石(128000);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
时尚+武器+文玩+数码,1,13,7,25,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),AI服务器(470400);民用垂直起降飞行器(452800);名刀：菊一文字(422002);重型巡航摩托车(357040);时尚轿跑(293400);《般若神掌》(284519);007同款防弹西装(199080);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
时尚+武器+文玩+饮食,1,13,7,26,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),双羊尊(567900);民用垂直起降飞行器(452800);名刀：菊一文字(422002);重型巡航摩托车(357040);时尚轿跑(293400);《般若神掌》(284519);007同款防弹西装(199080);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
时尚+武器+珠宝+书籍,1,13,7,24,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);007同款防弹西装(199080);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
时尚+珠宝+文玩+饮食,1,13,7,25,羊脂白玉籽和田玉(2516000),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),双羊尊(567900);钻石原石（巨粒）(512000);民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);黄金权杖(141300);亚历山大变石(128000);曜变天目盏(112500);单人郊游快艇(106500)
家居+武器+数码+书籍,1,13,6,26,《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);相控阵雷达(1003000),翡翠屏风(844000);AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);小米云端100寸液晶电视(255115);小米全智能扫地机器人(170362);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
时尚+武器+数码+书籍,1,13,5,27,《富春山居图》(1236666),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);相控阵雷达(1003000),AI服务器(470400);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);007同款防弹西装(199080);斯卡奥小金人(168000);古剑(143100);单人郊游快艇(106500)
家居+医疗+时尚+书籍,1,12,9,26,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古医书《伤寒论》(158940);古剑(143100);单人郊游快艇(106500)
家居+时尚+文玩+数码,1,12,9,22,豪宅管理用黑盒(7402320),羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),AI服务器(470400);民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);小米云端100寸液晶电视(255115);007同款防弹西装(199080);环球小姐冠军皇冠(195154);金丝楠木椅(187812);小米全智能扫地机器人(170362);斯卡奥小金人(168000);单人郊游快艇(106500)
家居+时尚+珠宝+书籍,1,12,9,23,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+医疗+武器+文玩,1,12,8,24,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),名刀：菊一文字(422002);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);小米云端100寸液晶电视(255115);金丝楠木椅(187812);古医书《伤寒论》(158940);古剑(143100);黄金权杖(141300);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
家居+数码+饮食+书籍,1,12,8,23,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);敦煌绢画(255840);小米云端100寸液晶电视(255115);小米全智能扫地机器人(170362);古剑(143100);野生大黄鱼(127260);曜变天目盏(112500);单人郊游快艇(106500)
家居+时尚+武器+珠宝,1,12,8,22,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);金缕玉衣(281600);敦煌绢画(255840);007同款防弹西装(199080);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+武器+饮食+书籍,1,12,8,25,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);古剑(143100);黄金权杖(141300);野生大黄鱼(127260);曜变天目盏(112500);单人郊游快艇(106500)
时尚+武器+饮食+书籍,1,12,7,24,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);007同款防弹西装(199080);斯卡奥小金人(168000);古剑(143100);单人郊游快艇(106500)
时尚+珠宝+文玩+数码,1,12,7,22,羊脂白玉籽和田玉(2516000),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);AI服务器(470400);民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);黄金权杖(141300);亚历山大变石(128000);单人郊游快艇(106500)
家居+珠宝+数码+书籍,1,11,9,22,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);敦煌绢画(255840);小米云端100寸液晶电视(255115);小米全智能扫地机器人(170362);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+珠宝+文玩+饮食,1,11,9,23,羊脂白玉籽和田玉(2516000),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),双羊尊(567900);钻石原石（巨粒）(512000);敦煌绢画(255840);小米云端100寸液晶电视(255115);金丝楠木椅(187812);黄金权杖(141300);亚历山大变石(128000);野生大黄鱼(127260);曜变天目盏(112500);单人郊游快艇(106500)
家居+医疗+时尚+数码,1,11,8,25,复苏呼吸机(1089660),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);小米云端100寸液晶电视(255115);环球小姐冠军皇冠(195154);小米全智能扫地机器人(170362);斯卡奥小金人(168000);单人郊游快艇(106500)
家居+医疗+时尚+武器,1,11,8,24,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);金缕玉衣(281600);007同款防弹西装(199080);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+医疗+武器+书籍,1,11,8,25,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);古医书《伤寒论》(158940);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
医疗+时尚+文玩+数码,1,11,7,24,复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古医书《伤寒论》(158940);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
家居+武器+数码+饮食,1,11,7,23,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),AI服务器(470400);重型巡航摩托车(357040);金缕玉衣(281600);小米云端100寸液晶电视(255115);小米全智能扫地机器人(170362);古剑(143100);黄金权杖(141300);野生大黄鱼(127260);曜变天目盏(112500);单人郊游快艇(106500)
医疗+武器+交通+书籍,1,10,9,24,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);古医书《伤寒论》(158940);古剑(143100);单人郊游快艇(106500)
家居+医疗+珠宝+文玩,1,10,9,21,羊脂白玉籽和田玉(2516000),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);敦煌绢画(255840);小米云端100寸液晶电视(255115);金丝楠木椅(187812);古医书《伤寒论》(158940);黄金权杖(141300);亚历山大变石(128000);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
家居+时尚+文玩+交通,1,10,9,20,超级跑车钥匙(1495000),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);小米云端100寸液晶电视(255115);007同款防弹西装(199080);环球小姐冠军皇冠(195154);金丝楠木椅(187812);斯卡奥小金人(168000);单人郊游快艇(106500)
家居+武器+文玩+交通,1,10,9,20,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),名刀：菊一文字(422002);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);小米云端100寸液晶电视(255115);金丝楠木椅(187812);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+武器+珠宝+书籍,1,10,9,22,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+珠宝+饮食+书籍,1,10,9,22,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);敦煌绢画(255840);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);野生大黄鱼(127260);曜变天目盏(112500);单人郊游快艇(106500)
武器+珠宝+交通+书籍,1,10,9,21,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+文玩+数码+饮食,1,10,8,21,豪宅管理用黑盒(7402320),羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),双羊尊(567900);AI服务器(470400);重型巡航摩托车(357040);小米云端100寸液晶电视(255115);金丝楠木椅(187812);小米全智能扫地机器人(170362);野生大黄鱼(127260);曜变天目盏(112500);单人郊游快艇(106500)
家居+武器+珠宝+数码,1,10,8,21,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),AI服务器(470400);重型巡航摩托车(357040);金缕玉衣(281600);敦煌绢画(255840);小米云端100寸液晶电视(255115);小米全智能扫地机器人(170362);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
医疗+时尚+武器+数码,1,10,7,27,复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);007同款防弹西装(199080);斯卡奥小金人(168000);古剑(143100);单人郊游快艇(106500)
医疗+时尚+珠宝+书籍,1,10,7,24,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);斯卡奥小金人(168000);古医书《伤寒论》(158940);黄金权杖(141300);单人郊游快艇(106500)
医疗+时尚+珠宝+数码,1,10,7,23,复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);斯卡奥小金人(168000);黄金权杖(141300);单人郊游快艇(106500)
医疗+武器+珠宝+书籍,1,10,7,22,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);古医书《伤寒论》(158940);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
医疗+珠宝+文玩+饮食,1,10,7,23,羊脂白玉籽和田玉(2516000),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),双羊尊(567900);钻石原石（巨粒）(512000);敦煌绢画(255840);古医书《伤寒论》(158940);黄金权杖(141300);亚历山大变石(128000);紫檀木金针针灸套装(112896);曜变天目盏(112500);单人郊游快艇(106500)
家居+医疗+数码+饮食,1,10,7,24,复苏呼吸机(1089660),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);重型巡航摩托车(357040);小米云端100寸液晶电视(255115);小米全智能扫地机器人(170362);古医书《伤寒论》(158940);野生大黄鱼(127260);曜变天目盏(112500);单人郊游快艇(106500)
